"","X","taxon","sample.id","count","depth","thickness","age.older","age","age.younger","chronology.name","age.type","chronology.id","dataset.id","unit.name","site.id","site.name","long","lat","elev","description","long.acc","lat.acc","dataset.name","collection.type","collection.handle","dataset.type","ContactID","ContactName","submission.date","submission.type","genus","species","family","phylum","ne_10m_adm","ScaleRank","LabelRank","FeatureCla","OID_","SOVEREIGNT","SOV_A3","ADM0_DIF","LEVEL","TYPE","ADMIN","ADM0_A3","GEOU_DIF","GEOUNIT","GU_A3","SU_DIF","SUBUNIT","SU_A3","NAME","ABBREV","POSTAL","NAME_FORMA","TERR_","NAME_SORT","MAP_COLOR","POP_EST","GDP_MD_EST","FIPS_10_","ISO_A2","ISO_A3","ISO_N3","ISO3","LON","LAT","ISO3.1","ADMIN.1","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"1",1,"Alnus",412015,6,0,NA,NA,0,NA,"GPD 1","Radiocarbon years BP",30634,20,NA,20,"Akuvaara",27.67406,69.12326,170,"Lake. Physiography: Hill of sandy/gravelly outwash. Surrounding vegetation: Thin pine forest.",0,0,"EPD E# 4","Core","AKUV","pollen",697,"Hyvärinen, Hannu","2019-09-30","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FIN",1,2,"Adm-0 country",30,"Finland","FI1",0,2,"County","Finland","FIN",0,"Finland","FIN",0,"Finland","FIN","Finland","Fin.","FIN","Republic of Finland",NA,"Finland",6,5250275,193500,0,"FI","FIN",246,"FIN",26.2880019100913,64.509662975869,"FIN","Finland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"2",2,"Alnus",254208,469,130,NA,NA,1270,NA,"C14 BP","Radiocarbon years BP",15066,24927,NA,16133,"Paleochenal de Neublans",5.33777777777778,46.9161111111111,184,"Riverine. Physiography: valley. Surrounding vegetation: cultivated fields and forest.",0,0,"NEUBLANS","Core","NEUBLANS","pollen",8766,"Gauthier, Emilie","2018-02-22","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"3",3,"Alnus",141752,2,170,1,8935,8519,8065,"Neotoma 1","Calibrated radiocarbon years BP",8161,15325,NA,10172,"Black Gum Swamp",-72.1829,42.5375,358,"Swamp that occupies an irregularly shaped basin that drains to the southwest through an intermittent stream. Surrounding vegetation: Picea rubens, Nyssa sylvatica, and Acer rubrum in the overstory. Ilex, Nemopanthus, Vaccinium, and Viburnum in the understory. Ground layer of Sphagnum, Osmunda, and herbs.",0.00660000000000593,0.00300000000000011,NA,"Core","BLACKGUM","pollen",134,"Foster, David R.","2015-03-11","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","USA",1,2,"Adm-0 country",29,"United States of America","US1",0,2,"Country","United States of America","USA",0,"United States of America","USA",0,"United States of America","USA","United States","U.S.A.","US","United States of America",NA,"United States of America",1,307212123,14260000,0,"US","USA",840,"USA",-99.14176315265,39.5270579829123,"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"4",4,"Alnus",220179,14,190,NA,NA,1649,NA,"Welten (1982)","Radiocarbon years BP",13008,22660,NA,14473,"Lai Nair Schuls-Tarasp",10.277778,46.776111,1551,"Small lake with mire in small valley. Physiography: Valley. Surrounding vegetation: Meadows. Vegetation formation: Lower sub-alp.Pineto-Ericetum silvestris.",0,0,NA,"Core","LAINAIR","pollen",983,"Ammann, Brigitta","2017-11-05","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","CHE",1,2,"Adm-0 country",240,"Switzerland","CHE",0,2,"Sovereign country","Switzerland","CHE",0,"Switzerland","CHE",0,"Switzerland","CHE","Switzerland","Switz.","CH","Swiss Confederation",NA,"Switzerland",3,7604467,316700,0,"CH","CHE",756,"CHE",8.21538259993145,46.7990229334944,"CHE","Switzerland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"5",5,"Alnus",385006,3,1150,NA,NA,15778,NA,"cal BP","Calibrated radiocarbon years BP",29475,45170,NA,26045,"Lake Iznik",29.533056,40.433889,88,"Lake. Physiography: Middle strand of North Anatolian fault. Surrounding vegetation: Fagus orientalis and deciduous oaks. Vegetation formation: Euxinian mesic deciduous & mixed forest.",0,0,"EPD E# 2323","Core","IZNIK","pollen",15622,"Miebach, Andrea","2019-07-25","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","TUR",1,2,"Adm-0 country",250,"Turkey","TUR",0,2,"Sovereign country","Turkey","TUR",0,"Turkey","TUR",0,"Turkey","TUR","Turkey","Tur.","TR","Republic of Turkey",NA,"Turkey",4,76805524,902700,0,"TR","TUR",792,"TUR",35.423731829911,38.9894232066787,"TUR","Turkey","Europe","Eurasia","Europe","Central Europe","Turkey","Turkey","Europe","OECD90","Western Europe (WEU)","North Africa/Middle East",25,"Europe","other","other","other"
"6",6,"Alnus",261862,13,690,NA,NA,NA,NA,"No chronology",NA,NA,25392,NA,16352,"Saint-Jorioz",6.16472222222222,45.8394444444444,464,"Lake. Physiography: glacial origin. Surrounding vegetation: cultivated fields and forest.",0,0,"STJORIOZ","Core","STJORIOZ","pollen",9767,"Richard, Hervé","2018-03-14","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","FRA",1,2,"Adm-0 country",17,"France","FR1",0,2,"Country","France","FRA",0,"France","FRA",0,"France","FRA","France","Fr.","F","French Republic",NA,"France",11,64057792,2128000,0,"FR","FRA",250,"FRA",2.44987065601257,46.6221692058783,"FRA","France","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"7",7,"Alnus",225472,127,536,NA,NA,7139,NA,"C14 BP","Radiocarbon years BP",13170,22820,NA,14556,"Löddigsee",11.85,53.433333,43,"Lake being filled with mud and peat. Physiography: Basin.",0,0,"Pollen Löddigsee","Core","LOEDDIG","pollen",1102,"Jahns, Susanne","2017-11-07","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
"8",8,"Alnus",237935,1,1590,NA,NA,11946,NA,"Fossilva","Radiocarbon years BP",14509,24159,NA,15735,"Yeniçaga Gölü",32.02629,40.78002,987,"The extensive peat bog was locally drained by small ditches which might originally have been small streams discharging into the lake.",0,0,"EPD E# 977","Core","YENICAGA","pollen",733,"Bottema, Sytze","2017-12-04","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","TUR",1,2,"Adm-0 country",250,"Turkey","TUR",0,2,"Sovereign country","Turkey","TUR",0,"Turkey","TUR",0,"Turkey","TUR","Turkey","Tur.","TR","Republic of Turkey",NA,"Turkey",4,76805524,902700,0,"TR","TUR",792,"TUR",35.423731829911,38.9894232066787,"TUR","Turkey","Europe","Eurasia","Europe","Central Europe","Turkey","Turkey","Europe","OECD90","Western Europe (WEU)","North Africa/Middle East",25,"Europe","other","other","other"
"9",9,"Alnus",352879,7,1898,1,NA,NA,NA,"No chronology",NA,NA,4291,NA,3306,"Naklo",17.6,53.15,61,"Fossil Eemian lake covered by Vistulian. Physiography: ice-marginal streamway terrace. Surrounding vegetation: ruderal plants (Town area).",0,0,"EPD E# 466","Core","NAKLO","pollen",1178,"Noryskiewicz, Bozena","2019-04-06","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","POL",1,2,"Adm-0 country",208,"Poland","POL",0,2,"Sovereign country","Poland","POL",0,"Poland","POL",0,"Poland","POL","Poland","Pol.","PL","Republic of Poland",NA,"Poland",2,38482919,667900,0,"PL","POL",616,"POL",19.394451119772,52.1246717383064,"POL","Poland","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",17,"Poland","other","other","other"
"10",10,"Alnus",223420,226,25,NA,NA,7578,NA,"C14 BP","Radiocarbon years BP",13122,22775,NA,14534,"Merzdorf",13.533333,51.4,100,"Peat.",0,0,NA,"Core","MERZDORF","pollen",1102,"Jahns, Susanne","2017-11-06","Last submission to Neotoma","Alnus",NA,"Betulaceae","A","DEU",1,2,"Adm-0 country",135,"Germany","DEU",0,2,"Sovereign country","Germany","DEU",0,"Germany","DEU",0,"Germany","DEU","Germany","Ger.","D","Federal Republic of Germany",NA,"Germany",1,82329758,2918000,0,"DE","DEU",276,"DEU",10.3708281446481,51.0869722385768,"DEU","Germany","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",16,"Germany","other","other","other"
