"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.04913517121177,0.370415274775958,-10.9313396259397,8.16342681297171e-28
"bin.fact200",-0.0706685810831854,0.466310468273197,-0.151548347916956,0.879543175093565
"bin.fact400",0.136170515239258,0.440877079999679,0.308862767915622,0.757425919848432
"bin.fact600",-1.93564730624458,0.796294409838058,-2.43081865492216,0.0150647525103897
"bin.fact800",-0.751428378852883,0.543021060789871,-1.3837923298221,0.166422052323345
"bin.fact1000",-0.367828868373187,0.521468100372395,-0.705371753536813,0.480578917516341
"REGIONNorth America",0.956952380770231,0.40253460828884,2.37731703328119,0.017439092267933
"bin.lag.scale",0.0749926854960421,0.0894108677476682,0.838742396591916,0.401613881571121
"bin.n.scale",-0.894035413945051,1.13070646783627,-0.790687450170764,0.429126401260899
"tsLength.scale",1.08464472945175,1.09625837501222,0.989406105508348,0.322464488524843
"tsRichness.scale",0.284885849385676,0.117427574492122,2.42605581029683,0.0152639227548881
"elev.scale",-0.18841759127917,0.0916722542590989,-2.0553393477882,0.0398462393156536
"bin.fact200:REGIONNorth America",0.207223408788043,0.540957865269418,0.383067558662517,0.701669672768901
"bin.fact400:REGIONNorth America",-1.38497981704487,0.594672359242944,-2.32897963982728,0.0198601443329387
"bin.fact600:REGIONNorth America",-14.4945167894114,432.908420545863,-0.0334817159969654,0.973290446177671
"bin.fact800:REGIONNorth America",-1.93006169246346,0.895141573471479,-2.15615244522542,0.0310717634508172
"bin.fact1000:REGIONNorth America",-1.68921399440967,0.708226652266464,-2.38513191928581,0.0170729978823235
