age,temp,temp.sd
6.5,0.13,0.12
6.6,0.14,0.11
6.7,0.14,0.11
6.8,0.16,0.11
6.9,0.16,0.11
7,0.16,0.11
7.1,0.16,0.11
7.2,0.18,0.10
7.3,0.18,0.10
7.4,0.16,0.10
7.5,0.14,0.11
7.6,0.12,0.10
7.7,0.12,0.10
7.8,0.12,0.10
7.9,0.11,0.11
8,0.12,0.10
8.1,0.10,0.11
8.2,0.08,0.10
8.3,0.12,0.10
8.4,0.15,0.10
8.5,0.16,0.11
8.6,0.16,0.10
8.7,0.16,0.11
8.8,0.16,0.10
8.9,0.17,0.10
9,0.15,0.10
9.1,0.15,0.10
9.2,0.14,0.10
9.3,0.14,0.10
9.4,0.14,0.11
9.5,0.12,0.11
9.6,0.11,0.11
9.7,0.10,0.11
9.8,0.08,0.11
9.9,0.06,0.11
10,0.02,0.11
10.1,-0.02,0.11
10.2,-0.06,0.10
10.3,-0.10,0.11
10.4,-0.10,0.11
10.5,-0.10,0.11
10.6,-0.13,0.11
10.7,-0.17,0.11
10.8,-0.24,0.11
10.9,-0.32,0.11
11,-0.39,0.11
11.1,-0.48,0.11
11.2,-0.54,0.12
11.3,-0.62,0.12
11.4,-0.70,0.12
11.5,-0.78,0.12
11.6,-0.87,0.13
11.7,-1.05,0.13
11.8,-1.16,0.13
11.9,-1.25,0.13
12,-1.30,0.12
12.1,-1.39,0.12
12.2,-1.42,0.12
12.3,-1.48,0.12
12.4,-1.56,0.12
12.5,-1.65,0.13
12.6,-1.70,0.13
12.7,-1.70,0.13
12.8,-1.68,0.13
12.9,-1.63,0.13
13,-1.60,0.13
13.1,-1.58,0.13
13.2,-1.53,0.13
13.3,-1.48,0.12
13.4,-1.43,0.12
13.5,-1.43,0.12
13.6,-1.46,0.12
13.7,-1.47,0.12
13.8,-1.50,0.12
13.9,-1.56,0.12
14,-1.60,0.13
14.1,-1.62,0.13
14.2,-1.64,0.13
14.3,-1.69,0.14
14.4,-1.76,0.15
14.5,-1.85,0.15
14.6,-1.98,0.15
14.7,-2.11,0.16
14.8,-2.22,0.15
14.9,-2.31,0.14
15,-2.38,0.14
15.1,-2.42,0.13
15.2,-2.46,0.13
15.3,-2.49,0.12
15.4,-2.52,0.13
15.5,-2.56,0.12
15.6,-2.60,0.12
15.7,-2.63,0.12
15.8,-2.67,0.13
15.9,-2.70,0.12
16,-2.74,0.12
16.1,-2.78,0.13
16.2,-2.82,0.13
16.3,-2.86,0.13
16.4,-2.90,0.13
16.5,-2.94,0.13
16.6,-2.98,0.13
16.7,-3.02,0.13
16.8,-3.05,0.13
16.9,-3.08,0.13
17,-3.10,0.13
17.1,-3.15,0.14
17.2,-3.20,0.14
17.3,-3.21,0.14
17.4,-3.21,0.13
17.5,-3.22,0.13
17.6,-3.23,0.13
17.7,-3.24,0.13
17.8,-3.25,0.13
17.9,-3.27,0.13
18,-3.28,0.13
18.1,-3.31,0.13
18.2,-3.33,0.12
18.3,-3.34,0.12
18.4,-3.35,0.12
18.5,-3.36,0.12
18.6,-3.38,0.12
18.7,-3.39,0.12
18.8,-3.42,0.12
18.9,-3.44,0.13
19,-3.43,0.13
19.1,-3.42,0.12
19.2,-3.43,0.12
19.3,-3.45,0.12
19.4,-3.44,0.12
19.5,-3.42,0.12
19.6,-3.40,0.12
19.7,-3.40,0.12
19.8,-3.41,0.12
19.9,-3.43,0.12
20,-3.44,0.12
20.1,-3.44,0.12
20.2,-3.46,0.12
20.3,-3.46,0.12
20.4,-3.47,0.12
20.5,-3.48,0.12
20.6,-3.49,0.12
20.7,-3.50,0.12
20.8,-3.51,0.12
20.9,-3.52,0.12
21,-3.52,0.13
21.1,-3.53,0.12
21.2,-3.54,0.12
21.3,-3.55,0.12
21.4,-3.57,0.12
21.5,-3.58,0.12
21.6,-3.58,0.12
21.7,-3.58,0.12
21.8,-3.58,0.13
21.9,-3.56,0.13
22,-3.55,0.13
