color.cat,level,hex,r,g,b
woody,1,#AA6A39,0.667,0.416,0.224
woody,2,#FFCFAA,1,0.812,0.667
woody,3,#D4986A,0.831,0.596,0.416
woody,4,#804315,0.502,0.263,0.082
woody,5,#552500,0.333,0.145,0
all,1,#363377,0.212,0.2,0.467
all,2,#827FB2,0.51,0.498,0.698
all,3,#585594,0.345,0.333,0.58
all,4,#1D1959,0.114,0.098,0.349
all,5,#0B083B,0.043,0.031,0.231
herb,1,#4B9130,0.294,0.569,0.188
herb,2,#A5DA91,0.647,0.855,0.569
herb,3,#73B55B,0.451,0.71,0.357
herb,4,#2B6D12,0.169,0.427,0.071
herb,5,#144900,0.078,0.286,0
